id,session_id,iki_variance,backspace_ratio,dwell_time,mouse_activity,app_switch_rate,fatigue_label
713,73251e5a,0.1019,0.0,0.0923,1766,46,8
714,73251e5a,0.0053,0.0,0.0959,1766,46,8
715,73251e5a,0.0372,0.2,0.0942,1766,46,8
716,73251e5a,0.0372,0.0,0.079,1766,46,8
717,73251e5a,0.0425,0.2,0.0906,1766,46,8
718,73251e5a,176.529,0.0,0.1001,1766,46,8
719,73251e5a,0.0153,0.0,0.0955,1766,46,8
720,73251e5a,0.036,0.0,0.0974,1766,46,8
721,73251e5a,0.2898,0.0,0.0964,1766,46,8
722,73251e5a,0.032,0.0,0.0956,1766,46,8
723,73251e5a,37.2637,0.0,0.1009,1766,46,8
724,73251e5a,0.0966,0.0,0.1015,1766,46,8
725,73251e5a,0.0072,0.0,0.0966,1766,46,8
726,73251e5a,0.0365,0.0,0.0913,1766,46,8
727,73251e5a,0.0946,0.0,0.0875,1766,46,8
728,73251e5a,0.0114,0.0,0.0898,1766,46,8
729,73251e5a,0.1141,0.2,0.0852,1766,46,8
730,73251e5a,0.0101,0.0,0.0951,1766,46,8
731,73251e5a,0.0435,0.1,0.0914,1766,46,8
732,73251e5a,0.0089,0.0,0.0957,1766,46,8
733,73251e5a,333.5358,0.0,0.1143,1766,46,8
734,73251e5a,0.0088,0.0,0.1093,1766,46,8
735,73251e5a,0.0023,0.0,0.0908,1766,46,8
736,73251e5a,0.007,0.0,0.098,1766,46,8
737,73251e5a,0.0051,0.0,0.0967,1766,46,8
738,73251e5a,0.0072,0.0,0.1017,1766,46,8
739,73251e5a,0.0566,0.1,0.0953,1766,46,8
740,73251e5a,62.8965,0.0,0.2092,1766,46,8
741,73251e5a,345.3836,0.0,0.28,1766,46,8
742,73251e5a,196.2333,0.0,0.294,1766,46,8
743,73251e5a,88.4184,0.0,0.2074,1766,46,8
744,73251e5a,0.1441,0.0,0.1131,1766,46,8
745,73251e5a,0.2814,0.0,0.1109,1766,46,8
746,73251e5a,93.5842,0.0,0.1083,1766,46,8
747,73251e5a,0.0399,0.0,0.1064,1766,46,8
748,73251e5a,0.0056,0.0,0.1004,1766,46,8
749,73251e5a,0.0243,0.0,0.0928,1766,46,8
750,73251e5a,0.399,0.0,0.1007,1766,46,8
751,73251e5a,0.0263,0.0,0.0935,1766,46,8
752,73251e5a,0.0118,0.0,0.1,1766,46,8
753,73251e5a,0.0107,0.0,0.0944,1766,46,8
754,73251e5a,0.2521,0.0,0.0916,1766,46,8
755,73251e5a,0.0537,0.0,0.0949,1766,46,8
756,73251e5a,0.0167,0.0,0.0925,1766,46,8
757,73251e5a,0.2825,0.0,0.0958,1766,46,8
758,73251e5a,0.0206,0.0,0.0904,1766,46,8
759,73251e5a,0.0122,0.0,0.092,1766,46,8
760,73251e5a,0.0352,0.0,0.0901,1766,46,8
761,73251e5a,0.0105,0.0,0.0861,1766,46,8
762,73251e5a,0.0735,0.1,0.0969,1766,46,8
763,73251e5a,0.0061,0.0,0.1008,1766,46,8
764,73251e5a,262.5019,0.0,0.1981,1766,46,8
765,73251e5a,34.0773,0.0,0.2751,1766,46,8
766,73251e5a,0.1485,0.0,0.1167,1766,46,8
767,73251e5a,0.0857,0.0,0.1041,1766,46,8
768,73251e5a,0.1498,0.0,0.1052,1766,46,8
769,73251e5a,0.0253,0.0,0.1092,1766,46,8
